CIPCODE,CIPDESC,CREDLEV,CREDDESC,Duplicate
5202,"Business Administration, Management and Operations.",8,Graduate/Professional Certificate,52028
5203,Accounting and Related Services.,4,Post-baccalaureate Certificate,52034
5203,Accounting and Related Services.,8,Graduate/Professional Certificate,52038
5210,Human Resources Management and Services.,5,Master's Degree,52105
5210,Human Resources Management and Services.,8,Graduate/Professional Certificate,52108
5212,Management Information Systems and Services.,4,Post-baccalaureate Certificate,52124
5213,Management Sciences and Quantitative Methods.,5,Master's Degree,52135
1104,Information Science/Studies.,3,Bachelors Degree,11043
1107,Computer Science.,3,Bachelors Degree,11073
1301,"Education, General.",1,Undergraduate Certificate or Diploma,13011
1305,Educational/Instructional Media Design.,5,Master's Degree,13055
1305,Educational/Instructional Media Design.,8,Graduate/Professional Certificate,13058
1311,Student Counseling and Personnel Services.,8,Graduate/Professional Certificate,13118
2613,"Ecology, Evolution, Systematics, and Population Biology.",3,Bachelors Degree,26133
3103,"Parks, Recreation and Leisure Facilities Management.",3,Bachelors Degree,31033
4499,"Public Administration and Social Service Professions, Other.",5,Master's Degree,44995
5003,Dance.,3,Bachelors Degree,50033
5123,Rehabilitation and Therapeutic Professions.,3,Bachelors Degree,51233
5123,Rehabilitation and Therapeutic Professions.,8,Graduate/Professional Certificate,51238
301,Natural Resources Conservation and Research.,3,Bachelors Degree,3013
501,Area Studies.,3,Bachelors Degree,5013
501,Area Studies.,5,Master's Degree,5015
502,"Ethnic, Cultural Minority, Gender, and Group Studies.",5,Master's Degree,5025
901,Communication and Media Studies.,6,Doctoral Degree,9016
904,Journalism.,3,Bachelors Degree,9043
904,Journalism.,5,Master's Degree,9045
907,"Radio, Television, and Digital Communication.",3,Bachelors Degree,9073
907,"Radio, Television, and Digital Communication.",5,Master's Degree,9075
909,"Public Relations, Advertising, and Applied Communication.",3,Bachelors Degree,9093
909,"Public Relations, Advertising, and Applied Communication.",5,Master's Degree,9095
1306,"Educational Assessment, Evaluation, and Research.",6,Doctoral Degree,13066
1310,Special Education and Teaching.,6,Doctoral Degree,13106
1310,Special Education and Teaching.,8,Graduate/Professional Certificate,13108
1311,Student Counseling and Personnel Services.,6,Doctoral Degree,13116
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",8,Graduate/Professional Certificate,13128
1404,Architectural Engineering.,3,Bachelors Degree,14043
1407,Chemical Engineering.,6,Doctoral Degree,14076
1411,Engineering Mechanics.,5,Master's Degree,14115
1414,Environmental/Environmental Health Engineering.,3,Bachelors Degree,14143
1414,Environmental/Environmental Health Engineering.,5,Master's Degree,14145
1420,Metallurgical Engineering.,3,Bachelors Degree,14203
1420,Metallurgical Engineering.,5,Master's Degree,14205
1433,Construction Engineering.,3,Bachelors Degree,14333
1605,"Germanic Languages, Literatures, and Linguistics.",3,Bachelors Degree,16053
1605,"Germanic Languages, Literatures, and Linguistics.",5,Master's Degree,16055
1609,"Romance Languages, Literatures, and Linguistics.",5,Master's Degree,16095
1609,"Romance Languages, Literatures, and Linguistics.",6,Doctoral Degree,16096
1904,Family and Consumer Economics and Related Studies.,3,Bachelors Degree,19043
1904,Family and Consumer Economics and Related Studies.,5,Master's Degree,19045
1905,"Foods, Nutrition, and Related Services.",3,Bachelors Degree,19053
1905,"Foods, Nutrition, and Related Services.",5,Master's Degree,19055
1909,Apparel and Textiles.,3,Bachelors Degree,19093
2201,Law.,7,First Professional Degree,22017
2202,Legal Research and Advanced Professional Studies.,5,Master's Degree,22025
2202,Legal Research and Advanced Professional Studies.,6,Doctoral Degree,22026
2301,"English Language and Literature, General.",6,Doctoral Degree,23016
2313,Rhetoric and Composition/Writing Studies.,5,Master's Degree,23135
2501,Library Science and Administration.,5,Master's Degree,25015
2605,Microbiological Sciences and Immunology.,3,Bachelors Degree,26053
2613,"Ecology, Evolution, Systematics, and Population Biology.",5,Master's Degree,26135
2701,Mathematics.,6,Doctoral Degree,27016
2705,Statistics.,5,Master's Degree,27055
2705,Statistics.,6,Doctoral Degree,27056
3000,"Multi-/Interdisciplinary Studies, General.",3,Bachelors Degree,30003
3000,"Multi-/Interdisciplinary Studies, General.",6,Doctoral Degree,30006
3020,International/Global Studies.,1,Undergraduate Certificate or Diploma,30201
3802,Religion/Religious Studies.,3,Bachelors Degree,38023
4006,Geological and Earth Sciences/Geosciences.,3,Bachelors Degree,40063
4006,Geological and Earth Sciences/Geosciences.,5,Master's Degree,40065
4006,Geological and Earth Sciences/Geosciences.,6,Doctoral Degree,40066
4228,"Clinical, Counseling and Applied Psychology.",6,Doctoral Degree,42286
4228,"Clinical, Counseling and Applied Psychology.",8,Graduate/Professional Certificate,42288
4407,Social Work.,6,Doctoral Degree,44076
4502,Anthropology.,6,Doctoral Degree,45026
4504,Criminology.,3,Bachelors Degree,45043
4504,Criminology.,5,Master's Degree,45045
4507,Geography and Cartography.,3,Bachelors Degree,45073
4507,Geography and Cartography.,5,Master's Degree,45075
4507,Geography and Cartography.,6,Doctoral Degree,45076
4509,International Relations and National Security Studies.,3,Bachelors Degree,45093
4510,Political Science and Government.,5,Master's Degree,45105
4510,Political Science and Government.,6,Doctoral Degree,45106
5004,Design and Applied Arts.,3,Bachelors Degree,50043
5005,Drama/Theatre Arts and Stagecraft.,5,Master's Degree,50055
5009,Music.,5,Master's Degree,50095
5009,Music.,6,Doctoral Degree,50096
5102,Communication Disorders Sciences and Services.,3,Bachelors Degree,51023
5122,Public Health.,8,Graduate/Professional Certificate,51228
5131,Dietetics and Clinical Nutrition Services.,3,Bachelors Degree,51313
5199,"Health Professions and Related Clinical Sciences, Other.",5,Master's Degree,51995
5202,"Business Administration, Management and Operations.",6,Doctoral Degree,52026
5203,Accounting and Related Services.,6,Doctoral Degree,52036
5206,Business/Managerial Economics.,5,Master's Degree,52065
5206,Business/Managerial Economics.,6,Doctoral Degree,52066
5208,Finance and Financial Management Services.,5,Master's Degree,52085
5208,Finance and Financial Management Services.,6,Doctoral Degree,52086
5209,Hospitality Administration/Management.,3,Bachelors Degree,52093
5213,Management Sciences and Quantitative Methods.,3,Bachelors Degree,52133
5213,Management Sciences and Quantitative Methods.,6,Doctoral Degree,52136
5214,Marketing.,5,Master's Degree,52145
5214,Marketing.,6,Doctoral Degree,52146
5216,Taxation.,5,Master's Degree,52165
5401,History.,6,Doctoral Degree,54016
1101,"Computer and Information Sciences, General.",1,Undergraduate Certificate or Diploma,11011
1101,"Computer and Information Sciences, General.",2,Associate's Degree,11012
1204,Cosmetology and Related Personal Grooming Services.,1,Undergraduate Certificate or Diploma,12041
1204,Cosmetology and Related Personal Grooming Services.,2,Associate's Degree,12042
1506,Industrial Production Technologies/Technicians.,1,Undergraduate Certificate or Diploma,15061
1506,Industrial Production Technologies/Technicians.,2,Associate's Degree,15062
1513,Drafting/Design Engineering Technologies/Technicians.,1,Undergraduate Certificate or Diploma,15131
1513,Drafting/Design Engineering Technologies/Technicians.,2,Associate's Degree,15132
1907,"Human Development, Family Studies, and Related Services.",1,Undergraduate Certificate or Diploma,19071
1907,"Human Development, Family Studies, and Related Services.",2,Associate's Degree,19072
3099,"Multi/Interdisciplinary Studies, Other.",1,Undergraduate Certificate or Diploma,30991
3099,"Multi/Interdisciplinary Studies, Other.",2,Associate's Degree,30992
4701,Electrical/Electronics Maintenance and Repair Technology.,1,Undergraduate Certificate or Diploma,47011
