CIPCODE,CIPDESC,CREDLEV,CREDDESC,Duplicate
4400,"Human Services, General.",3,Bachelors Degree,44003
5099,"Visual and Performing Arts, Other.",3,Bachelors Degree,50993
5120,"Pharmacy, Pharmaceutical Sciences, and Administration.",3,Bachelors Degree,51203
5207,Entrepreneurial and Small Business Operations.,3,Bachelors Degree,52073
1313,"Teacher Education and Professional Development, Specific Subject Areas.",2,Associate's Degree,13132
3802,Religion/Religious Studies.,2,Associate's Degree,38022
3902,Bible/Biblical Studies.,4,Post-baccalaureate Certificate,39024
3904,Religious Education.,2,Associate's Degree,39042
3907,Pastoral Counseling and Specialized Ministries.,2,Associate's Degree,39072
1907,"Human Development, Family Studies, and Related Services.",7,First Professional Degree,19077
3105,Health and Physical Education/Fitness.,1,Undergraduate Certificate or Diploma,31051
5009,Music.,1,Undergraduate Certificate or Diploma,50091
302,Natural Resources Management and Policy.,5,Master's Degree,3025
1104,Information Science/Studies.,1,Undergraduate Certificate or Diploma,11041
1107,Computer Science.,1,Undergraduate Certificate or Diploma,11071
1399,"Education, Other.",5,Master's Degree,13995
1399,"Education, Other.",6,Doctoral Degree,13996
1399,"Education, Other.",8,Graduate/Professional Certificate,13998
1427,Systems Engineering.,6,Doctoral Degree,14276
2610,Pharmacology and Toxicology.,5,Master's Degree,26105
2705,Statistics.,3,Bachelors Degree,27053
3001,Biological and Physical Sciences.,6,Doctoral Degree,30016
3011,Gerontology.,1,Undergraduate Certificate or Diploma,30111
3011,Gerontology.,8,Graduate/Professional Certificate,30118
4004,Atmospheric Sciences and Meteorology.,3,Bachelors Degree,40043
5102,Communication Disorders Sciences and Services.,6,Doctoral Degree,51026
5112,Medicine.,6,Doctoral Degree,51126
5127,Medical Illustration and Informatics.,3,Bachelors Degree,51273
3802,Religion/Religious Studies.,1,Undergraduate Certificate or Diploma,38021
3802,Religion/Religious Studies.,8,Graduate/Professional Certificate,38028
5007,Fine and Studio Arts.,8,Graduate/Professional Certificate,50078
5111,Health/Medical Preparatory Programs.,1,Undergraduate Certificate or Diploma,51111
5111,Health/Medical Preparatory Programs.,8,Graduate/Professional Certificate,51118
3902,Bible/Biblical Studies.,1,Undergraduate Certificate or Diploma,39021
1199,"Computer and Information Sciences and Support Services, Other.",3,Bachelors Degree,11993
1511,Engineering-Related Technologies.,3,Bachelors Degree,15113
1616,American Sign Language.,3,Bachelors Degree,16163
3015,"Science, Technology and Society.",3,Bachelors Degree,30153
4501,"Social Sciences, General.",5,Master's Degree,45015
4509,International Relations and National Security Studies.,5,Master's Degree,45095
5211,International Business.,5,Master's Degree,52115
5216,Taxation.,8,Graduate/Professional Certificate,52168
112,Soil Sciences.,3,Bachelors Degree,1123
112,Soil Sciences.,5,Master's Degree,1125
409,Architectural Sciences and Technology.,3,Bachelors Degree,4093
1107,Computer Science.,5,Master's Degree,11075
4010,Materials Sciences.,5,Master's Degree,40105
4604,"Building/Construction Finishing, Management, and Inspection.",3,Bachelors Degree,46043
5108,Allied Health and Medical Assisting Services.,5,Master's Degree,51085
5220,Construction Management.,3,Bachelors Degree,52203
1313,"Teacher Education and Professional Development, Specific Subject Areas.",1,Undergraduate Certificate or Diploma,13131
3103,"Parks, Recreation and Leisure Facilities Management.",5,Master's Degree,31035
1509,Mining and Petroleum Technologies/Technicians.,1,Undergraduate Certificate or Diploma,15091
301,Natural Resources Conservation and Research.,1,Undergraduate Certificate or Diploma,3011
502,"Ethnic, Cultural Minority, Gender, and Group Studies.",1,Undergraduate Certificate or Diploma,5021
502,"Ethnic, Cultural Minority, Gender, and Group Studies.",2,Associate's Degree,5022
904,Journalism.,1,Undergraduate Certificate or Diploma,9041
904,Journalism.,2,Associate's Degree,9042
1110,Computer/Information Technology Administration and Management.,1,Undergraduate Certificate or Diploma,11101
1310,Special Education and Teaching.,1,Undergraduate Certificate or Diploma,13101
1310,Special Education and Teaching.,2,Associate's Degree,13102
1408,Civil Engineering.,1,Undergraduate Certificate or Diploma,14081
1408,Civil Engineering.,8,Graduate/Professional Certificate,14088
1422,Naval Architecture and Marine Engineering.,8,Graduate/Professional Certificate,14228
1501,Architectural Engineering Technologies/Technicians.,2,Associate's Degree,15012
1507,Quality Control and Safety Technologies/Technicians.,1,Undergraduate Certificate or Diploma,15071
1507,Quality Control and Safety Technologies/Technicians.,2,Associate's Degree,15072
1509,Mining and Petroleum Technologies/Technicians.,2,Associate's Degree,15092
1511,Engineering-Related Technologies.,2,Associate's Degree,15112
1512,Computer Engineering Technologies/Technicians.,2,Associate's Degree,15122
1610,"American Indian/Native American Languages, Literatures, and Linguistics.",1,Undergraduate Certificate or Diploma,16101
2203,Legal Support Services.,8,Graduate/Professional Certificate,22038
2701,Mathematics.,2,Associate's Degree,27012
3033,Sustainability Studies.,1,Undergraduate Certificate or Diploma,30331
3106,Outdoor Education.,1,Undergraduate Certificate or Diploma,31061
3106,Outdoor Education.,2,Associate's Degree,31062
3801,Philosophy.,1,Undergraduate Certificate or Diploma,38011
4199,"Science Technologies/Technicians, Other.",2,Associate's Degree,41992
4199,"Science Technologies/Technicians, Other.",3,Bachelors Degree,41993
4400,"Human Services, General.",1,Undergraduate Certificate or Diploma,44001
4400,"Human Services, General.",8,Graduate/Professional Certificate,44008
4402,Community Organization and Advocacy.,1,Undergraduate Certificate or Diploma,44021
4501,"Social Sciences, General.",2,Associate's Degree,45012
4901,Air Transportation.,3,Bachelors Degree,49013
5005,Drama/Theatre Arts and Stagecraft.,2,Associate's Degree,50052
5106,Dental Support Services and Allied Professions.,3,Bachelors Degree,51063
5108,Allied Health and Medical Assisting Services.,3,Bachelors Degree,51083
5122,Public Health.,2,Associate's Degree,51222
5207,Entrepreneurial and Small Business Operations.,1,Undergraduate Certificate or Diploma,52071
5212,Management Information Systems and Services.,1,Undergraduate Certificate or Diploma,52121
5212,Management Information Systems and Services.,2,Associate's Degree,52122
5220,Construction Management.,2,Associate's Degree,52202
5220,Construction Management.,8,Graduate/Professional Certificate,52208
5299,"Business, Management, Marketing, and Related Support Services, Other.",2,Associate's Degree,52992
3903,Missions/Missionary Studies and Missiology.,3,Bachelors Degree,39033
109,Animal Sciences.,1,Undergraduate Certificate or Diploma,1091
301,Natural Resources Conservation and Research.,6,Doctoral Degree,3016
302,Natural Resources Management and Policy.,2,Associate's Degree,3022
302,Natural Resources Management and Policy.,6,Doctoral Degree,3026
303,Fishing and Fisheries Sciences and Management.,3,Bachelors Degree,3033
303,Fishing and Fisheries Sciences and Management.,5,Master's Degree,3035
303,Fishing and Fisheries Sciences and Management.,6,Doctoral Degree,3036
306,Wildlife and Wildlands Science and Management.,5,Master's Degree,3065
306,Wildlife and Wildlands Science and Management.,6,Doctoral Degree,3066
399,"Natural Resources and Conservation, Other.",3,Bachelors Degree,3993
399,"Natural Resources and Conservation, Other.",5,Master's Degree,3995
502,"Ethnic, Cultural Minority, Gender, and Group Studies.",6,Doctoral Degree,5026
1110,Computer/Information Technology Administration and Management.,2,Associate's Degree,11102
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",1,Undergraduate Certificate or Diploma,13121
1315,Teaching Assistants/Aides.,1,Undergraduate Certificate or Diploma,13151
1315,Teaching Assistants/Aides.,2,Associate's Degree,13152
1401,"Engineering, General.",6,Doctoral Degree,14016
1409,Computer Engineering.,2,Associate's Degree,14092
1421,Mining and Mineral Engineering.,3,Bachelors Degree,14213
1421,Mining and Mineral Engineering.,5,Master's Degree,14215
1425,Petroleum Engineering.,3,Bachelors Degree,14253
1425,Petroleum Engineering.,5,Master's Degree,14255
1439,Geological/Geophysical Engineering.,3,Bachelors Degree,14393
1439,Geological/Geophysical Engineering.,5,Master's Degree,14395
1601,"Linguistic, Comparative, and Related Language Studies and Services.",5,Master's Degree,16015
1603,"East Asian Languages, Literatures, and Linguistics.",3,Bachelors Degree,16033
1610,"American Indian/Native American Languages, Literatures, and Linguistics.",2,Associate's Degree,16102
1610,"American Indian/Native American Languages, Literatures, and Linguistics.",3,Bachelors Degree,16103
1699,"Foreign Languages, Literatures, and Linguistics, Other.",1,Undergraduate Certificate or Diploma,16991
1699,"Foreign Languages, Literatures, and Linguistics, Other.",2,Associate's Degree,16992
1699,"Foreign Languages, Literatures, and Linguistics, Other.",3,Bachelors Degree,16993
2299,"Legal Professions and Studies, Other.",1,Undergraduate Certificate or Diploma,22991
2602,"Biochemistry, Biophysics and Molecular Biology.",5,Master's Degree,26025
2703,Applied Mathematics.,8,Graduate/Professional Certificate,27038
3018,Natural Sciences.,2,Associate's Degree,30182
4002,Astronomy and Astrophysics.,5,Master's Degree,40025
4002,Astronomy and Astrophysics.,6,Doctoral Degree,40026
4303,Homeland Security.,1,Undergraduate Certificate or Diploma,43031
4303,Homeland Security.,5,Master's Degree,43035
4402,Community Organization and Advocacy.,2,Associate's Degree,44022
4402,Community Organization and Advocacy.,3,Bachelors Degree,44023
4402,Community Organization and Advocacy.,5,Master's Degree,44025
4501,"Social Sciences, General.",1,Undergraduate Certificate or Diploma,45011
4600,"Construction Trades, General.",1,Undergraduate Certificate or Diploma,46001
4600,"Construction Trades, General.",2,Associate's Degree,46002
4602,Carpenters.,2,Associate's Degree,46022
5122,Public Health.,1,Undergraduate Certificate or Diploma,51221
5208,Finance and Financial Management Services.,1,Undergraduate Certificate or Diploma,52081
303,Fishing and Fisheries Sciences and Management.,1,Undergraduate Certificate or Diploma,3031
303,Fishing and Fisheries Sciences and Management.,2,Associate's Degree,3032
1401,"Engineering, General.",1,Undergraduate Certificate or Diploma,14011
3001,Biological and Physical Sciences.,2,Associate's Degree,30012
3106,Outdoor Education.,3,Bachelors Degree,31063
3199,"Parks, Recreation, Leisure, and Fitness Studies, Other.",1,Undergraduate Certificate or Diploma,31991
4903,Marine Transportation.,1,Undergraduate Certificate or Diploma,49031
4903,Marine Transportation.,2,Associate's Degree,49032
5002,"Crafts/Craft Design, Folk Art and Artisanry.",1,Undergraduate Certificate or Diploma,50021
2401,"Liberal Arts and Sciences, General Studies and Humanities.",4,Post-baccalaureate Certificate,24014
3106,Outdoor Education.,5,Master's Degree,31065
4228,"Clinical, Counseling and Applied Psychology.",7,First Professional Degree,42287
4400,"Human Services, General.",2,Associate's Degree,44002
5201,"Business/Commerce, General.",4,Post-baccalaureate Certificate,52014
5207,Entrepreneurial and Small Business Operations.,8,Graduate/Professional Certificate,52078
5208,Finance and Financial Management Services.,8,Graduate/Professional Certificate,52088
5221,Telecommunications Management.,5,Master's Degree,52215
1107,Computer Science.,2,Associate's Degree,11072
5100,"Health Services/Allied Health/Health Sciences, General.",2,Associate's Degree,51002
5118,Ophthalmic and Optometric Support Services and Allied Professions.,1,Undergraduate Certificate or Diploma,51181
5214,Marketing.,1,Undergraduate Certificate or Diploma,52141
5299,"Business, Management, Marketing, and Related Support Services, Other.",1,Undergraduate Certificate or Diploma,52991
5211,International Business.,8,Graduate/Professional Certificate,52118
5214,Marketing.,8,Graduate/Professional Certificate,52148
3906,Theological and Ministerial Studies.,2,Associate's Degree,39062
301,Natural Resources Conservation and Research.,8,Graduate/Professional Certificate,3018
306,Wildlife and Wildlands Science and Management.,1,Undergraduate Certificate or Diploma,3061
402,Architecture.,5,Master's Degree,4025
402,Architecture.,6,Doctoral Degree,4026
403,"City/Urban, Community and Regional Planning.",1,Undergraduate Certificate or Diploma,4031
403,"City/Urban, Community and Regional Planning.",6,Doctoral Degree,4036
404,Environmental Design.,5,Master's Degree,4045
405,Interior Architecture.,5,Master's Degree,4055
406,Landscape Architecture.,3,Bachelors Degree,4063
409,Architectural Sciences and Technology.,5,Master's Degree,4095
501,Area Studies.,1,Undergraduate Certificate or Diploma,5011
501,Area Studies.,8,Graduate/Professional Certificate,5018
502,"Ethnic, Cultural Minority, Gender, and Group Studies.",8,Graduate/Professional Certificate,5028
901,Communication and Media Studies.,1,Undergraduate Certificate or Diploma,9011
904,Journalism.,8,Graduate/Professional Certificate,9048
907,"Radio, Television, and Digital Communication.",6,Doctoral Degree,9076
910,Publishing.,8,Graduate/Professional Certificate,9108
1003,Graphic Communications.,3,Bachelors Degree,10033
1105,Computer Systems Analysis.,3,Bachelors Degree,11053
1105,Computer Systems Analysis.,5,Master's Degree,11055
1107,Computer Science.,6,Doctoral Degree,11076
1301,"Education, General.",6,Doctoral Degree,13016
1302,"Bilingual, Multilingual, and Multicultural Education.",8,Graduate/Professional Certificate,13028
1303,Curriculum and Instruction.,5,Master's Degree,13035
1303,Curriculum and Instruction.,6,Doctoral Degree,13036
1305,Educational/Instructional Media Design.,6,Doctoral Degree,13056
1306,"Educational Assessment, Evaluation, and Research.",8,Graduate/Professional Certificate,13068
1309,Social and Philosophical Foundations of Education.,5,Master's Degree,13095
1314,Teaching English or French as a Second or Foreign Language.,1,Undergraduate Certificate or Diploma,13141
1413,Engineering Science.,5,Master's Degree,14135
1413,Engineering Science.,6,Doctoral Degree,14136
1423,Nuclear Engineering.,8,Graduate/Professional Certificate,14238
1427,Systems Engineering.,5,Master's Degree,14275
1433,Construction Engineering.,5,Master's Degree,14335
1436,Manufacturing Engineering.,3,Bachelors Degree,14363
1436,Manufacturing Engineering.,5,Master's Degree,14365
1499,"Engineering, Other.",8,Graduate/Professional Certificate,14998
1503,Electrical Engineering Technologies/Technicians.,5,Master's Degree,15035
1506,Industrial Production Technologies/Technicians.,5,Master's Degree,15065
1508,Mechanical Engineering Related Technologies/Technicians.,5,Master's Degree,15085
1512,Computer Engineering Technologies/Technicians.,3,Bachelors Degree,15123
1515,Engineering-Related Fields.,3,Bachelors Degree,15153
1515,Engineering-Related Fields.,5,Master's Degree,15155
1516,Nanotechnology.,5,Master's Degree,15165
1601,"Linguistic, Comparative, and Related Language Studies and Services.",6,Doctoral Degree,16016
1601,"Linguistic, Comparative, and Related Language Studies and Services.",8,Graduate/Professional Certificate,16018
1603,"East Asian Languages, Literatures, and Linguistics.",5,Master's Degree,16035
1603,"East Asian Languages, Literatures, and Linguistics.",6,Doctoral Degree,16036
1604,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",3,Bachelors Degree,16043
1609,"Romance Languages, Literatures, and Linguistics.",1,Undergraduate Certificate or Diploma,16091
1611,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",1,Undergraduate Certificate or Diploma,16111
1612,"Classics and Classical Languages, Literatures, and Linguistics.",1,Undergraduate Certificate or Diploma,16121
1699,"Foreign Languages, Literatures, and Linguistics, Other.",8,Graduate/Professional Certificate,16998
1902,Family and Consumer Sciences/Human Sciences Business Services.,1,Undergraduate Certificate or Diploma,19021
1904,Family and Consumer Economics and Related Studies.,1,Undergraduate Certificate or Diploma,19041
2200,Non-Professional General Legal Studies (Undergraduate).,5,Master's Degree,22005
2200,Non-Professional General Legal Studies (Undergraduate).,6,Doctoral Degree,22006
2202,Legal Research and Advanced Professional Studies.,8,Graduate/Professional Certificate,22028
2299,"Legal Professions and Studies, Other.",5,Master's Degree,22995
2301,"English Language and Literature, General.",1,Undergraduate Certificate or Diploma,23011
2313,Rhetoric and Composition/Writing Studies.,1,Undergraduate Certificate or Diploma,23131
2603,Botany/Plant Biology.,5,Master's Degree,26035
2603,Botany/Plant Biology.,6,Doctoral Degree,26036
2604,Cell/Cellular Biology and Anatomical Sciences.,5,Master's Degree,26045
2605,Microbiological Sciences and Immunology.,5,Master's Degree,26055
2705,Statistics.,8,Graduate/Professional Certificate,27058
2799,"Mathematics and Statistics, Other.",1,Undergraduate Certificate or Diploma,27991
3013,Medieval and Renaissance Studies.,1,Undergraduate Certificate or Diploma,30131
3013,Medieval and Renaissance Studies.,8,Graduate/Professional Certificate,30138
3014,Museology/Museum Studies.,5,Master's Degree,30145
3014,Museology/Museum Studies.,8,Graduate/Professional Certificate,30148
3015,"Science, Technology and Society.",6,Doctoral Degree,30156
3015,"Science, Technology and Society.",8,Graduate/Professional Certificate,30158
3018,Natural Sciences.,5,Master's Degree,30185
3020,International/Global Studies.,5,Master's Degree,30205
3020,International/Global Studies.,6,Doctoral Degree,30206
3025,Cognitive Science.,1,Undergraduate Certificate or Diploma,30251
3025,Cognitive Science.,6,Doctoral Degree,30256
3101,"Parks, Recreation and Leisure Studies.",5,Master's Degree,31015
3101,"Parks, Recreation and Leisure Studies.",6,Doctoral Degree,31016
3199,"Parks, Recreation, Leisure, and Fitness Studies, Other.",8,Graduate/Professional Certificate,31998
3800,"Philosophy and Religious Studies, General.",3,Bachelors Degree,38003
3801,Philosophy.,5,Master's Degree,38015
3801,Philosophy.,6,Doctoral Degree,38016
3802,Religion/Religious Studies.,6,Doctoral Degree,38026
4301,Criminal Justice and Corrections.,8,Graduate/Professional Certificate,43018
4303,Homeland Security.,8,Graduate/Professional Certificate,43038
4399,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.",1,Undergraduate Certificate or Diploma,43991
4402,Community Organization and Advocacy.,8,Graduate/Professional Certificate,44028
4405,Public Policy Analysis.,3,Bachelors Degree,44053
4405,Public Policy Analysis.,5,Master's Degree,44055
4405,Public Policy Analysis.,6,Doctoral Degree,44056
4405,Public Policy Analysis.,8,Graduate/Professional Certificate,44058
4499,"Public Administration and Social Service Professions, Other.",1,Undergraduate Certificate or Diploma,44991
4504,Criminology.,6,Doctoral Degree,45046
4505,Demography and Population Studies.,8,Graduate/Professional Certificate,45058
4506,Economics.,6,Doctoral Degree,45066
4511,Sociology.,1,Undergraduate Certificate or Diploma,45111
4512,Urban Studies/Affairs.,3,Bachelors Degree,45123
4599,"Social Sciences, Other.",1,Undergraduate Certificate or Diploma,45991
5001,"Visual and Performing Arts, General.",1,Undergraduate Certificate or Diploma,50011
5001,"Visual and Performing Arts, General.",5,Master's Degree,50015
5003,Dance.,5,Master's Degree,50035
5004,Design and Applied Arts.,8,Graduate/Professional Certificate,50048
5005,Drama/Theatre Arts and Stagecraft.,6,Doctoral Degree,50056
5006,Film/Video and Photographic Arts.,1,Undergraduate Certificate or Diploma,50061
5007,Fine and Studio Arts.,6,Doctoral Degree,50076
5009,Music.,8,Graduate/Professional Certificate,50098
5099,"Visual and Performing Arts, Other.",1,Undergraduate Certificate or Diploma,50991
5099,"Visual and Performing Arts, Other.",8,Graduate/Professional Certificate,50998
5112,Medicine.,3,Bachelors Degree,51123
5207,Entrepreneurial and Small Business Operations.,5,Master's Degree,52075
5209,Hospitality Administration/Management.,5,Master's Degree,52095
5209,Hospitality Administration/Management.,8,Graduate/Professional Certificate,52098
5211,International Business.,1,Undergraduate Certificate or Diploma,52111
5213,Management Sciences and Quantitative Methods.,1,Undergraduate Certificate or Diploma,52131
5215,Real Estate.,3,Bachelors Degree,52153
5220,Construction Management.,5,Master's Degree,52205
5220,Construction Management.,6,Doctoral Degree,52206
5401,History.,1,Undergraduate Certificate or Diploma,54011
100,"Agriculture, General.",1,Undergraduate Certificate or Diploma,1001
100,"Agriculture, General.",2,Associate's Degree,1002
101,Agricultural Business and Management.,2,Associate's Degree,1012
103,Agricultural Production Operations.,2,Associate's Degree,1032
110,Food Science and Technology.,1,Undergraduate Certificate or Diploma,1101
301,Natural Resources Conservation and Research.,2,Associate's Degree,3012
409,Architectural Sciences and Technology.,1,Undergraduate Certificate or Diploma,4091
409,Architectural Sciences and Technology.,2,Associate's Degree,4092
901,Communication and Media Studies.,2,Associate's Degree,9012
1106,Data Entry/Microcomputer Applications.,1,Undergraduate Certificate or Diploma,11061
1106,Data Entry/Microcomputer Applications.,2,Associate's Degree,11062
1108,Computer Software and Media Applications.,2,Associate's Degree,11082
1401,"Engineering, General.",2,Associate's Degree,14012
1609,"Romance Languages, Literatures, and Linguistics.",2,Associate's Degree,16092
1901,"Family and Consumer Sciences/Human Sciences, General.",1,Undergraduate Certificate or Diploma,19011
1901,"Family and Consumer Sciences/Human Sciences, General.",2,Associate's Degree,19012
2301,"English Language and Literature, General.",2,Associate's Degree,23012
3105,Health and Physical Education/Fitness.,2,Associate's Degree,31052
3801,Philosophy.,2,Associate's Degree,38012
4005,Chemistry.,2,Associate's Degree,40052
4006,Geological and Earth Sciences/Geosciences.,2,Associate's Degree,40062
4008,Physics.,2,Associate's Degree,40082
4303,Homeland Security.,2,Associate's Degree,43032
4510,Political Science and Government.,2,Associate's Degree,45102
4605,Plumbing and Related Water Supply Services.,2,Associate's Degree,46052
4699,"Construction Trades, Other.",1,Undergraduate Certificate or Diploma,46991
5007,Fine and Studio Arts.,2,Associate's Degree,50072
5131,Dietetics and Clinical Nutrition Services.,1,Undergraduate Certificate or Diploma,51311
5135,Somatic Bodywork and Related Therapeutic Services.,2,Associate's Degree,51352
5214,Marketing.,2,Associate's Degree,52142
5401,History.,2,Associate's Degree,54012
101,Agricultural Business and Management.,1,Undergraduate Certificate or Diploma,1011
101,Agricultural Business and Management.,8,Graduate/Professional Certificate,1018
102,Agricultural Mechanization.,6,Doctoral Degree,1026
103,Agricultural Production Operations.,8,Graduate/Professional Certificate,1038
112,Soil Sciences.,6,Doctoral Degree,1126
302,Natural Resources Management and Policy.,1,Undergraduate Certificate or Diploma,3021
302,Natural Resources Management and Policy.,8,Graduate/Professional Certificate,3028
399,"Natural Resources and Conservation, Other.",6,Doctoral Degree,3996
499,"Architecture and Related Services, Other.",3,Bachelors Degree,4993
501,Area Studies.,6,Doctoral Degree,5016
1104,Information Science/Studies.,6,Doctoral Degree,11046
1108,Computer Software and Media Applications.,3,Bachelors Degree,11083
1110,Computer/Information Technology Administration and Management.,8,Graduate/Professional Certificate,11108
1302,"Bilingual, Multilingual, and Multicultural Education.",5,Master's Degree,13025
1305,Educational/Instructional Media Design.,3,Bachelors Degree,13053
1305,Educational/Instructional Media Design.,4,Post-baccalaureate Certificate,13054
1306,"Educational Assessment, Evaluation, and Research.",3,Bachelors Degree,13063
1309,Social and Philosophical Foundations of Education.,6,Doctoral Degree,13096
1314,Teaching English or French as a Second or Foreign Language.,6,Doctoral Degree,13146
1403,Agricultural Engineering.,3,Bachelors Degree,14033
1403,Agricultural Engineering.,5,Master's Degree,14035
1403,Agricultural Engineering.,6,Doctoral Degree,14036
1411,Engineering Mechanics.,6,Doctoral Degree,14116
1414,Environmental/Environmental Health Engineering.,6,Doctoral Degree,14146
1421,Mining and Mineral Engineering.,6,Doctoral Degree,14216
1421,Mining and Mineral Engineering.,8,Graduate/Professional Certificate,14218
1423,Nuclear Engineering.,5,Master's Degree,14235
1423,Nuclear Engineering.,6,Doctoral Degree,14236
1427,Systems Engineering.,3,Bachelors Degree,14273
1427,Systems Engineering.,8,Graduate/Professional Certificate,14278
1439,Geological/Geophysical Engineering.,6,Doctoral Degree,14396
1439,Geological/Geophysical Engineering.,8,Graduate/Professional Certificate,14398
1515,Engineering-Related Fields.,8,Graduate/Professional Certificate,15158
1604,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",5,Master's Degree,16045
1608,"Iranian/Persian Languages, Literatures, and Linguistics.",5,Master's Degree,16085
1608,"Iranian/Persian Languages, Literatures, and Linguistics.",6,Doctoral Degree,16086
1611,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",3,Bachelors Degree,16113
1611,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",5,Master's Degree,16115
1612,"Classics and Classical Languages, Literatures, and Linguistics.",5,Master's Degree,16125
1904,Family and Consumer Economics and Related Studies.,6,Doctoral Degree,19046
2201,Law.,3,Bachelors Degree,22013
2202,Legal Research and Advanced Professional Studies.,7,First Professional Degree,22027
2299,"Legal Professions and Studies, Other.",6,Doctoral Degree,22996
2313,Rhetoric and Composition/Writing Studies.,6,Doctoral Degree,23136
2401,"Liberal Arts and Sciences, General Studies and Humanities.",7,First Professional Degree,24017
2501,Library Science and Administration.,3,Bachelors Degree,25013
2501,Library Science and Administration.,4,Post-baccalaureate Certificate,25014
2501,Library Science and Administration.,6,Doctoral Degree,25016
2501,Library Science and Administration.,8,Graduate/Professional Certificate,25018
2601,"Biology, General.",8,Graduate/Professional Certificate,26018
2605,Microbiological Sciences and Immunology.,4,Post-baccalaureate Certificate,26054
2605,Microbiological Sciences and Immunology.,8,Graduate/Professional Certificate,26058
2607,Zoology/Animal Biology.,5,Master's Degree,26075
2607,Zoology/Animal Biology.,6,Doctoral Degree,26076
2608,Genetics.,5,Master's Degree,26085
2611,"Biomathematics, Bioinformatics, and Computational Biology.",3,Bachelors Degree,26113
2615,Neurobiology and Neurosciences.,5,Master's Degree,26155
2699,"Biological and Biomedical Sciences, Other.",3,Bachelors Degree,26993
2902,"Intelligence, Command Control and Information Operations.",1,Undergraduate Certificate or Diploma,29021
3000,"Multi-/Interdisciplinary Studies, General.",4,Post-baccalaureate Certificate,30004
3000,"Multi-/Interdisciplinary Studies, General.",8,Graduate/Professional Certificate,30008
3011,Gerontology.,5,Master's Degree,30115
3012,Historic Preservation and Conservation.,5,Master's Degree,30125
3012,Historic Preservation and Conservation.,8,Graduate/Professional Certificate,30128
3018,Natural Sciences.,3,Bachelors Degree,30183
3018,Natural Sciences.,6,Doctoral Degree,30186
4002,Astronomy and Astrophysics.,3,Bachelors Degree,40023
4006,Geological and Earth Sciences/Geosciences.,1,Undergraduate Certificate or Diploma,40061
4006,Geological and Earth Sciences/Geosciences.,8,Graduate/Professional Certificate,40068
4008,Physics.,8,Graduate/Professional Certificate,40088
4010,Materials Sciences.,3,Bachelors Degree,40103
4199,"Science Technologies/Technicians, Other.",8,Graduate/Professional Certificate,41998
4404,Public Administration.,7,First Professional Degree,44047
4502,Anthropology.,8,Graduate/Professional Certificate,45028
4503,Archeology.,8,Graduate/Professional Certificate,45038
4599,"Social Sciences, Other.",6,Doctoral Degree,45996
5006,Film/Video and Photographic Arts.,5,Master's Degree,50065
5099,"Visual and Performing Arts, Other.",5,Master's Degree,50995
5107,Health and Medical Administrative Services.,8,Graduate/Professional Certificate,51078
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,4,Post-baccalaureate Certificate,51104
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,8,Graduate/Professional Certificate,51108
5111,Health/Medical Preparatory Programs.,4,Post-baccalaureate Certificate,51114
5114,Medical Clinical Sciences/Graduate Medical Studies.,5,Master's Degree,51145
5114,Medical Clinical Sciences/Graduate Medical Studies.,6,Doctoral Degree,51146
5114,Medical Clinical Sciences/Graduate Medical Studies.,8,Graduate/Professional Certificate,51148
5120,"Pharmacy, Pharmaceutical Sciences, and Administration.",8,Graduate/Professional Certificate,51208
5211,International Business.,4,Post-baccalaureate Certificate,52114
1003,Graphic Communications.,5,Master's Degree,10035
102,Agricultural Mechanization.,2,Associate's Degree,1022
105,Agricultural and Domestic Animal Services.,1,Undergraduate Certificate or Diploma,1051
105,Agricultural and Domestic Animal Services.,2,Associate's Degree,1052
199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",1,Undergraduate Certificate or Diploma,1991
199,"Agriculture, Agriculture Operations, and Related Sciences, Other.",2,Associate's Degree,1992
1102,Computer Programming.,1,Undergraduate Certificate or Diploma,11021
1301,"Education, General.",2,Associate's Degree,13012
1442,"Mechatronics, Robotics, and Automation Engineering.",1,Undergraduate Certificate or Diploma,14421
1499,"Engineering, Other.",1,Undergraduate Certificate or Diploma,14991
2612,Biotechnology.,1,Undergraduate Certificate or Diploma,26121
3101,"Parks, Recreation and Leisure Studies.",1,Undergraduate Certificate or Diploma,31011
4101,Biology Technician/Biotechnology Laboratory Technician.,1,Undergraduate Certificate or Diploma,41011
4101,Biology Technician/Biotechnology Laboratory Technician.,2,Associate's Degree,41012
4404,Public Administration.,2,Associate's Degree,44042
5005,Drama/Theatre Arts and Stagecraft.,1,Undergraduate Certificate or Diploma,50051
5131,Dietetics and Clinical Nutrition Services.,2,Associate's Degree,51312
907,"Radio, Television, and Digital Communication.",2,Associate's Degree,9072
1442,"Mechatronics, Robotics, and Automation Engineering.",2,Associate's Degree,14422
